"Date","Interest"
"01.11.2023","5.50"
"20.09.2023","5.50"
"26.07.2023","5.50"
"14.06.2023","5.25"
"03.05.2023","5.25"
"22.03.2023","5.00"
"01.02.2023","4.75"
"14.12.2022","4.50"
"02.11.2022","4.00"
"21.09.2022","3.25"
"27.07.2022","2.50"
"15.06.2022","1.75"
"04.05.2022","1.00"
"16.03.2022","0.50"
"26.01.2022","0.25"
"15.12.2021","0.25"
"03.11.2021","0.25"
"22.09.2021","0.25"
"28.07.2021","0.25"
"16.06.2021","0.25"
"28.04.2021","0.25"
"17.03.2021","0.25"
"27.01.2021","0.25"
"16.12.2020","0.25"
"05.11.2020","0.25"
"16.09.2020","0.25"
"29.07.2020","0.25"
"10.06.2020","0.25"
"29.04.2020","0.25"
"15.03.2020","0.25"
"03.03.2020","1.25"
"29.01.2020","1.75"
"11.12.2019","1.75"
"30.10.2019","1.75"
"18.09.2019","2.00"
"31.07.2019","2.25"
"19.06.2019","2.50"
"01.05.2019","2.50"
"20.03.2019","2.50"
"30.01.2019","2.50"
"19.12.2018","2.50"
"08.11.2018","2.25"
"26.09.2018","2.25"
"01.08.2018","2.00"
"13.06.2018","2.00"
"02.05.2018","1.75"
"21.03.2018","1.75"
"31.01.2018","1.50"
