Date;Urea-Bulto-40-Kg;KCL-Bulto-50-Kg;Fosfato-Diamonico-Bulto-50Kg
Jan 30, 2018;67.198;60.833;83.333
Feb 28, 2018;68.928;59.750;83.333
Mar 30, 2018;65.956;58.900;81.375
Apr 30, 2018;68.238;59.083;81.250
May 30, 2018;68.114;59.667;80.520
Jun 30, 2018;68.287;59.500;81.416
Jul 30, 2018;63.014;60.800;83.333
Aug 30, 2018;63.754;66.240;87.667
Sep 30, 2018;65.625;66.230;91.550
Oct 30, 2018;67.137;65.958;92.125
Nov 30, 2018;72.400;66.040;94.738
Dec 30, 2018;77.837;65.634;93.386
Jan 30, 2019;81.985;73.325;98.600
Feb 28, 2019;84.351;71.640;94.738
Mar 30, 2019;85.287;71.660;94.613
Apr 30, 2019;84.847;72.325;94.863
May 30, 2019;83.171;72.233;98.890
Jun 30, 2019;80.771;75.567;98.908
Jul 30, 2019;82.400;78.184;103.720
Aug 30, 2019;81.718;81.825;100.842
Sep 30, 2019;81.184;83.250;103.408
Oct 30, 2019;81.286;81.080;101.800
Nov 30, 2019;79.964;82.763;103.642
Dec 30, 2019;78.851;83.400;101.308
Jan 30, 2020;78.662;83.067;101.000
Feb 28, 2020;77.633;83.550;101.667
Mar 30, 2020;76.727;79.925;101.808
Apr 30, 2020;84.200;84.175;102.283
May 30, 2020;83.489;84.675;103.117
Jun 30, 2020;83.606;82.233;102.950
Jul 30, 2020;82.653;81.425;101.070
Aug 30, 2020;82.441;81.425;100.125
Sep 30, 2020;80.484;78.067;102.470
Oct 30, 2020;79.971;77.233;102.658
Nov 30, 2020;79.371;76.900;101.790
Dec 30, 2020;80.322;80.175;98.270
Jan 30, 2021;81.186;80.175;98.390
Feb 28, 2021;81.749;80.175;107.170
Mar 30, 2021;76.727;79.925;101.808
Apr 30, 2021;84.200;84.175;102.283
May 30, 2021;102.363;84.175;134.600
Jun 30, 2021;105.150;95.425;139.500
Jul 30, 2021;123.206;95.425;161.550
Aug 30, 2021;130.121;95.425;174.333
Sep 30, 2021;130.121;95.425;174.333
Oct 30, 2021;139.200;95.425;170.300
Nov 30, 2021;157.833;95.425;170.300
Dec 30, 2021;217.000;95.425;170.300
Jan 30, 2022;213.500;95.425;170.300
Feb 28, 2022;231.275;176.067;193.800
Mar 30, 2022;225.850;185.000;199.667
Apr 30, 2022;246.000;185.000;197.500
May 30, 2022;266.333;255.500;230.000
Jun 30, 2022;270.000;250.000;230.000
Jul 30, 2022;246.250;244.500;250.000
Aug 30, 2022;233.925;244.500;273.667
Sep 30, 2022;216.725;244.500;265.200
Oct 30, 2022;218.333;248.750;263.700
Nov 30, 2022;215.743;246.250;258.500
Dec 30, 2022;210.400;237.000;263.875
Jan 30, 2023;218.300;237.000;253.125
Feb 28, 2023;214.100;237.000;253.750
Mar 30, 2023;205.386;227.000;249.125
Apr 30, 2023;196.713;227.000;240.500
May 30, 2023;167.550;227.000;247.000
Jun 30, 2023;156.138;181.000;231.333
Jul 30, 2023;124.914;173.500;215.400
Aug 30, 2023;127.550;173.800;209.000
Sep 30, 2023;128.333;173.800;207.167
Oct 30, 2023;120.500;165.000;202.000
