Date;Indice;Variacion-anual;Variacion-mensual;Variacion-ano-corrido
2023-10-30;"136.45";"10.48";"0.25";"8.27"
2023-09-30;"136.11";"10.99";"0.54";"8.01"
2023-08-30;"135.39";"11.43";"0.7";"7.43"
2023-07-30;"134.45";"11.78";"0.5";"6.68"
2023-06-30;"133.78";"12.13";"0.3";"6.15"
2023-05-30;"133.38";"12.36";"0.43";"5.83"
2023-04-30;"132.8";"12.82";"0.78";"5.38"
2023-03-30;"131.77";"13.34";"1.05";"4.56"
2023-02-28;"130.4";"13.28";"1.66";"3.47"
2023-01-30;"128.27";"13.25";"1.78";"1.78"
2022-12-30;"126.03";"13.12";"1.26";"13.12"
2022-11-30;"124.46";"12.53";"0.77";"11.72"
2022-10-30;"123.51";"12.22";"0.72";"10.86"
2022-09-30;"122.63";"11.44";"0.93";"10.08"
2022-08-30;"121.5";"10.84";"1.02";"9.06"
2022-07-30;"120.27";"10.21";"0.81";"7.96"
2022-06-30;"119.31";"9.67";"0.51";"7.09"
2022-05-30;"118.7";"9.07";"0.84";"6.55"
2022-04-30;"117.71";"9.23";"1.25";"5.66"
2022-03-30;"116.26";"8.53";"1.00";"4.36"
2022-02-28;"115.11";"8.01";"1.63";"3.33"
2022-01-30;"113.26";"6.94";"1.67";"1.67"
2021-12-30;"111.41";"5.62";"0.73";"5.62"
2021-11-30;"110.6";"5.26";"0.5";"4.86"
2021-10-30;"110.06";"4.58";"0.01";"4.34"
2021-09-30;"110.04";"4.51";"0.38";"4.33"
2021-08-30;"109.62";"4.44";"0.45";"3.93"
2021-07-30;"109.14";"3.97";"0.32";"3.47"
2021-06-30;"108.78";"3.63";"-0.05";"3.13"
2021-05-30;"108.84";"3.3";"1.0";"3.18"
2021-04-30;"107.76";"1.95";"0.59";"2.16"
2021-03-30;"107.12";"1.51";"0.51";"1.56"
2021-02-28;"106.58";"1.56";"0.64";"1.05"
2021-01-30;"105.91";"1.6";"0.41";"0.41"
2020-12-30;"105.48";"1.61";"0.38";"1.61"
2020-11-30;"105.08";"1.49";"-0.15";"1.23"
2020-10-30;"105.23";"1.75";"-0.06";"1.38"
2020-09-30;"105.29";"1.97";"0.32";"1.44"
2020-08-30;"104.96";"1.88";"-0.01";"1.12"
2020-07-30;"104.97";"1.97";"0.0";"1.12"
2020-06-30;"104.97";"2.19";"-0.38";"1.12"
2020-05-30;"105.36";"2.85";"-0.32";"1.5"
2020-04-30;"105.7";"3.51";"0.16";"1.83"
2020-03-30;"105.53";"3.86";"0.57";"1.67"
2020-02-28;"104.94";"3.72";"0.67";"1.09"
2020-01-30;"104.24";"3.62";"0.42";"0.42"
2019-12-30;"103.8";"3.8";"0.26";"3.8"
2019-11-30;"103.54";"3.84";"0.1";"3.54"
2019-10-30;"103.43";"3.86";"0.16";"3.43"
2019-09-30;"103.26";"3.82";"0.23";"3.26"
2019-08-30;"103.03";"3.75";"0.09";"3.03"
2019-07-30;"102.94";"3.79";"0.22";"2.94"
2019-06-30;"102.71";"3.43";"0.27";"2.71"
2019-05-30;"102.44";"3.31";"0.31";"2.44"
2019-04-30;"102.12";"3.25";"0.5";"2.12"
2019-03-30;"101.62";"3.21";"0.43";"1.62"
2019-02-28;"101.18";"3.01";"0.57";"1.18"
2019-01-30;"100.6";"3.15";"0.6";"0.6"
2018-12-30;"100.00";"3.18";"0.3";"3.18"
2018-11-30;"99.7";"3.27";"0.12";"2.87"
2018-10-30;"99.59";"3.33";"0.12";"2.75"
2018-09-30;"99.47";"3.23";"0.16";"2.63"
2018-08-30;"99.3";"3.1";"0.12";"2.46"
2018-07-30;"99.18";"3.12";"-0.13";"2.34"
2018-06-30;"99.31";"3.2";"0.15";"2.47"
2018-05-30;"99.16";"3.16";"0.25";"2.31"
2018-04-30;"98.91";"3.13";"0.46";"2.05"
2018-03-30;"98.45";"3.14";"0.24";"1.58"
2018-02-28;"98.22";"3.37";"0.71";"1.34"
2018-01-30;"97.53";"3.68";"0.63";"0.63"
