"Date","Event"
"20.03.2020","Se decreta cuarentena total desde el 24 de marzo en Colombia"
"20.01.2020","Primer caso de COVID19 en USA"
"26.03.2020","USA se convierte en el país con más casos de COVID-19 en el mundo"
"18.09.2022","Se declara que la pandemia ha terminado en USA"
"21.06.2022","Se anuncia fin de la Emergencia Sanitaria a partir del 1° de julio en Colombia"
"24.02.2022","El presidente ruso, Vladimir Putin, anuncia una operación militar en Ucrania"
"13.03.2022","Se realizaron las elecciones legislativas de Colombia"
"29.05.2022","Elecciones presidenciales de Colombia (Primera vuelta)"
"19.06.2022","Petro gana las elecciones presidenciales de Colombia"
"03.06.2023","Joe Biden firma la ley que eleva el techo de la deuda en Estados Unidos"
"07.10.2023","Se inicia la guerra Israel-Hamás"
"27.05.2018","Elecciones presidenciales de Colombia (Primera vuelta)"
"17.06.2018","Duque gana las elecciones presidenciales de Colombia"
"15.01.2018","Desplome del puente Chirajara"
"10.05.2020","Avianca Holdings se acogió al capítulo 11 del código de bancarrota en Estados Unidos"
"28.02.2023","Viva Air detuvo su operación"
"28.04.2021","Paro nacional"
"10.10.2018","Paro estudiantil"
"01.11.2018","Paro judicial"
"11.03.2019","Paro indígena"
"25.04.2019","Paro nacional"
"23.10.2018","Paro de maestros"
"19.03.2019","Paro de maestros"
"25.04.2019","Paro de maestros"
"30.05.2019","Paro de maestros"
"26.07.2019","Paro de maestros"
"28.08.2019","Paro de maestros"
"29.07.2023","Nicolas Petro es capturado por delitos de lavado de activos y enriquecimiento ilícito"
"25.04.2023","Gustavo Petro solicitó la renuncia protocolaria a todo su gabinete de ministros"
"19.09.2022","El ministro de Hacienda confirmó que la gasolina incrementará cada mes desde octubre."
"12.05.2018","Incidente en Hidroituango"
"03.11.2020","Joe Biden gana las elecciones presidenciales en USA"
"08.12.2019","Inicio de la pandemia en Wuhan"
